"id_service","id_costumer","price","date"
14,231,17.38,2020-01-01
6,231,97.38,2020-01-01
15,231,27.38,2020-01-01
5,201,120.92,2020-01-01
4,197,41.88,2020-01-01
15,197,31.88,2020-01-01
10,197,21.88,2020-01-01
7,197,74.88,2020-01-01
3,125,33.23,2020-01-01
9,125,72.23,2020-01-01
3,158,35.58,2020-01-01
14,129,18.4,2020-01-01
7,291,71.3,2020-01-01
8,291,61.3,2020-01-01
10,291,18.3,2020-01-01
13,96,4.87,2020-01-01
11,96,116.37,2020-01-01
12,96,101.37,2020-01-01
18,240,179.77,2020-01-01
8,240,62.77,2020-01-01
5,240,119.77,2020-01-01
3,227,35,2020-01-01
10,227,21,2020-01-01
8,227,64,2020-01-01
7,215,73.37,2020-01-01
12,215,100.37,2020-01-01
18,90,182.04,2020-01-01
10,90,22.04,2020-01-01
13,245,1.95,2020-01-01
8,245,61.45,2020-01-01
17,245,78.45,2020-01-01
11,174,112.94,2020-01-01
7,174,70.94,2020-01-01
4,41,37.34,2020-01-01
16,41,202.34,2020-01-01
13,52,3.58,2020-01-01
10,52,20.08,2020-01-01
17,52,80.08,2020-01-01
8,285,65.41,2020-01-02
14,285,22.41,2020-01-02
15,285,32.41,2020-01-02
9,285,75.41,2020-01-02
6,285,102.41,2020-01-02
14,184,20.44,2020-01-02
6,184,100.44,2020-01-02
15,184,30.44,2020-01-02
2,184,40.44,2020-01-02
3,95,33.44,2020-01-02
11,95,114.44,2020-01-02
6,76,101.01,2020-01-02
15,76,31.01,2020-01-02
8,79,65.05,2020-01-03
1,300,45.2,2020-01-03
16,300,202.2,2020-01-03
2,144,37.33,2020-01-03
1,241,47.21,2020-01-03
2,241,39.21,2020-01-03
7,241,72.21,2020-01-03
15,241,29.21,2020-01-03
18,10,177.92,2020-01-03
12,159,101.68,2020-01-03
13,254,2.66,2020-01-03
3,105,34.1,2020-01-03
7,105,73.1,2020-01-03
6,59,101.98,2020-01-03
13,117,3.49,2020-01-03
4,117,39.99,2020-01-03
3,117,33.99,2020-01-03
17,97,82.03,2020-01-03
18,97,182.03,2020-01-03
4,225,38.8,2020-01-03
9,225,71.8,2020-01-03
17,189,79.57,2020-01-03
10,189,19.57,2020-01-03
12,189,99.57,2020-01-03
6,210,99.14,2020-01-03
7,163,72.7,2020-01-03
17,163,79.7,2020-01-03
1,163,47.7,2020-01-03
18,219,182.54,2020-01-03
3,219,36.54,2020-01-03
11,219,117.54,2020-01-03
9,219,75.54,2020-01-03
2,96,38.58,2020-01-04
8,96,61.58,2020-01-04
4,96,38.58,2020-01-04
17,198,78.59,2020-01-04
18,198,178.59,2020-01-04
8,198,61.59,2020-01-04
15,198,28.59,2020-01-04
11,71,113.62,2020-01-04
18,71,178.62,2020-01-04
14,71,18.62,2020-01-04
10,94,21.04,2020-01-04
13,276,3.75,2020-01-04
15,276,30.25,2020-01-04
1,126,48.91,2020-01-04
13,126,4.41,2020-01-04
5,126,120.91,2020-01-04
13,255,0.96,2020-01-04
10,255,17.46,2020-01-04
14,255,17.46,2020-01-04
18,255,177.46,2020-01-04
6,136,100.97,2020-01-04
4,136,40.97,2020-01-04
9,136,73.97,2020-01-04
1,87,48.55,2020-01-04
12,87,100.55,2020-01-04
9,203,70.57,2020-01-04
12,203,97.57,2020-01-04
18,203,177.57,2020-01-04
3,43,32.94,2020-01-04
14,43,18.94,2020-01-04
2,43,38.94,2020-01-04
2,55,37.99,2020-01-04
4,55,37.99,2020-01-04
12,55,97.99,2020-01-04
4,148,38.48,2020-01-04
8,148,61.48,2020-01-04
16,148,203.48,2020-01-04
9,148,71.48,2020-01-04
16,66,203.69,2020-01-04
10,66,18.69,2020-01-04
7,274,75.98,2020-01-04
18,274,182.98,2020-01-04
5,274,122.98,2020-01-04
1,19,45.18,2020-01-04
2,19,37.18,2020-01-04
4,19,37.18,2020-01-04
15,169,32.1,2020-01-04
7,169,75.1,2020-01-04
3,169,36.1,2020-01-04
4,73,38.39,2020-01-04
5,73,118.39,2020-01-04
16,73,203.39,2020-01-04
3,154,32.61,2020-01-04
18,154,178.61,2020-01-04
5,154,118.61,2020-01-04
12,34,101.55,2020-01-04
18,34,181.55,2020-01-04
14,34,21.55,2020-01-04
6,230,100.46,2020-01-05
10,230,20.46,2020-01-05
5,230,120.46,2020-01-05
1,36,49.29,2020-01-05
15,36,31.29,2020-01-05
7,36,74.29,2020-01-05
1,261,48.64,2020-01-05
17,288,79.02,2020-01-05
18,288,179.02,2020-01-05
3,83,35.09,2020-01-05
5,112,119.12,2020-01-05
18,112,179.12,2020-01-05
5,277,117.38,2020-01-05
1,277,45.38,2020-01-05
6,277,97.38,2020-01-05
17,277,77.38,2020-01-05
13,197,2.04,2020-01-05
7,197,71.54,2020-01-05
4,268,37.4,2020-01-05
2,268,37.4,2020-01-05
2,193,38.95,2020-01-05
12,41,98.48,2020-01-05
2,41,38.48,2020-01-05
3,41,32.48,2020-01-05
17,280,80.84,2020-01-05
10,280,20.84,2020-01-05
7,3,70.13,2020-01-05
10,3,17.13,2020-01-05
7,139,72.5,2020-01-06
17,59,81.79,2020-01-06
16,289,205.97,2020-01-06
15,261,32.57,2020-01-06
14,261,22.57,2020-01-06
9,261,75.57,2020-01-06
17,33,81.58,2020-01-06
11,33,116.58,2020-01-06
8,50,60.93,2020-01-06
5,50,117.93,2020-01-06
3,50,31.93,2020-01-06
1,113,46.54,2020-01-06
11,113,113.54,2020-01-06
1,250,50.59,2020-01-06
15,250,32.59,2020-01-06
12,37,100.99,2020-01-06
18,37,180.99,2020-01-06
16,197,203.31,2020-01-06
9,197,71.31,2020-01-06
17,293,79.71,2020-01-06
2,293,39.71,2020-01-06
15,293,29.71,2020-01-06
1,293,47.71,2020-01-06
3,293,33.71,2020-01-06
16,176,204.69,2020-01-06
17,176,79.69,2020-01-06
4,77,37.36,2020-01-06
3,77,31.36,2020-01-06
10,77,17.36,2020-01-06
9,77,70.36,2020-01-06
1,77,45.36,2020-01-06
5,185,117.8,2020-01-06
14,185,17.8,2020-01-06
15,278,27.81,2020-01-06
17,278,77.81,2020-01-06
4,144,37.69,2020-01-07
12,196,102.62,2020-01-07
14,13,18.58,2020-01-07
